name,time,Capabilities,IfRepeater,RSSI,RX-Errors,RX-KBytes,RX-Packets,RX-Phyrate,RX_bitRate,State,TX-Errors,TX-KBytes,TX-Packets,TX-Phyrate,TX_bitRate,apmac,deviceaddress,interface
ap-station_last4,2019-05-02T00:04:01+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,148,863,176,22.4,14,0,859,2122,433,2845.33,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:04:01+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,639,4588,234,3178.67,14,0,8445,8103,293,5722.13,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:04:01+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,59,551,585,0,14,0,999,1360,780,2758.93,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:04:01+02:00," N 1X1 SGI20 SGI40",0,-52,0,35,388,150,0,14,0,1173,1885,150,2800.53,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:04:15+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,148,863,176,0,14,0,859,2123,433,40,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:04:15+02:00," N 1X1 SGI20 SGI40",0,-52,0,35,388,150,0,14,0,1173,1886,150,40,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:04:46+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-57,0,151,887,390,944.533,14,0,874,2155,433,4939.73,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:04:46+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,647,4672,263,84.2667,14,0,8644,8263,293,61.8667,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:04:46+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,59,551,585,0,14,0,1004,1371,780,0,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:04:46+02:00," N 1X1 SGI20 SGI40",0,-52,0,35,388,150,0,14,0,1178,1896,150,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:05:31+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-45,0,152,893,293,21,14,0,885,2181,433,2632.5,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:05:31+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,653,4695,293,147,14,0,8660,8305,293,2780.5,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:05:31+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-52,0,59,552,585,0,14,0,1014,1394,780,2544.5,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:05:31+02:00," N 1X1 SGI20 SGI40",0,-54,0,35,389,150,0,14,0,1188,1919,150,2590.5,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:05:46+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-52,0,59,552,585,0,14,0,1014,1394,780,0,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:06:15+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,659,4720,293,144,14,0,8671,8333,293,171.429,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:06:15+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,59,552,585,0,14,0,1020,1406,780,48,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:06:15+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,399,81,614.857,14,0,1193,1931,150,40,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:06:31+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,154,906,390,0,14,0,897,2211,433,2590.5,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:06:31+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,661,4725,117,852.5,14,0,8849,8476,325,91302.5,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:06:31+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,59,552,585,0,14,0,1025,1416,780,2544.5,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:06:31+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,400,81,21,14,0,1199,1942,135,2632.5,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:06:46+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,154,906,390,0,14,0,897,2212,433,44.8,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:06:46+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,669,4795,176,4607.47,14,0,8852,8485,325,1690.67,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:06:46+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-52,0,59,553,585,22.4,14,0,1025,1417,780,52.2667,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:06:46+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,400,81,0,14,0,1199,1942,135,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:07:01+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,672,4802,117,1172.8,14,0,8860,8503,293,3962.13,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:07:01+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-52,0,59,553,585,0,14,0,1030,1429,867,2803.73,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:07:16+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,157,922,433,1477.87,14,0,904,2234,390,1000,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:07:16+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,672,4810,263,357.333,14,0,8860,8507,260,260.267,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:07:16+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,59,553,585,0,14,0,1030,1429,780,0,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:07:16+02:00," N 1X1 SGI20 SGI40",0,-54,0,36,400,81,0,14,0,1204,1954,135,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:07:31+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,157,922,433,0,14,0,909,2244,390,2763.2,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:07:31+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,674,4819,293,739.733,14,0,8865,8520,293,2923.2,A491B16F74AD,7D82,ap1
