packet,delta,bytes
653,6,1024
654,6,1024
655,6,1024
656,6,1024
657,6,1024
658,7,1024
659,6,1024
660,6,1024
661,7,1024
662,6,1024
663,7,1024
664,7,1024
665,6,1024
666,6,1024
667,6,1024
668,6,1024
669,6,1024
670,6,1024
671,6,1024
672,6,1024
673,6,1024
674,6,1024
675,6,1024
676,6,1024
677,6,1024
678,6,1024
679,6,1024
680,6,1024
681,6,1024
682,6,1024
683,7,1024
684,6,1024
685,7,1024
686,6,1024
687,6,1024
688,6,1024
689,7,1024
690,7,1024
691,6,1024
692,6,1024
693,7,1024
694,10,1024
695,9,1024
696,7,1024
697,7,1024
698,7,1024
699,6,1024
700,6,1024
701,6,1024
702,7,1024
703,6,1024
704,6,1024
705,7,1024
706,7,1024
707,6,1024
708,6,1024
709,6,1024
710,6,1024
711,6,1024
712,6,1024
713,6,1024
714,6,1024
715,7,1024
716,6,1024
717,7,1024
718,6,1024
719,5,1024
720,6,1024
721,6,1024
722,6,1024
723,7,1024
724,6,1024
725,19031,1024
726,21,1024
727,7,1024
728,7,1024
729,7,1024
730,6,1024
731,9,1024
732,8,1024
733,7,1024
734,7,1024
735,7,1024
736,11,1024
737,7,1024
738,15,1024
739,8,1024
740,12,1024
741,9,1024
742,7,1024
743,8,1024
744,8,1024
745,6,1024
746,7,1024
747,7,1024
748,7,1024
749,7,1024
750,7,1024
751,7,1024
752,7,1024
753,7,1024
754,6,1024
755,8,1024
756,7,1024
757,7,1024
758,8,1024
759,8,1024
760,6,1024
761,7,1024
762,8,1024
763,8,1024
764,7,1024
765,6,1024
766,7,1024
767,7,1024
768,9,1024
769,8,1024
770,8,1024
771,7,1024
772,6,1024
773,12,1024
774,7,1024
775,7,1024
776,7,1024
777,6,1024
778,7,1024
779,6,1024
780,6,1024
781,7,1024
782,7,1024
783,7,1024
784,6,1024
785,6,1024
786,7,1024
787,6,1024
788,7,1024
789,9,1024
790,7,1024
791,7,1024
792,6,1024
793,6,1024
794,6,1024
795,7,1024
796,7,1024
797,6,1024
798,6,1024
799,6,1024
800,6,1024
801,7,1024
802,7,1024
803,6,1024
804,6,1024
805,9,1024
806,7,1024
807,7,1024
808,7,1024
809,17913,1024
810,9,1024
811,6,1024
812,7,1024
813,7,1024
814,6,1024
815,6,1024
816,6,1024
817,7,1024
818,7,1024
819,7,1024
820,7,1024
821,7,1024
822,7,1024
823,6,1024
824,7,1024
825,6,1024
826,6,1024
827,6,1024
828,7,1024
829,7,1024
830,7,1024
831,7,1024
832,6,1024
833,7,1024
834,6,1024
835,6,1024
836,6,1024
837,7,1024
838,7,1024
839,7,1024
840,6,1024
841,6,1024
842,7,1024
843,7,1024
844,7,1024
845,6,1024
846,7,1024
847,6,1024
848,7,1024
849,6,1024
850,6,1024
851,6,1024
852,6,1024
853,6,1024
854,6,1024
855,7,1024
856,6,1024
857,6,1024
858,6,1024
859,6,1024
860,9788,1024
861,9,1024
862,7,1024
863,8,1024
864,7,1024
865,6,1024
866,6,1024
867,6,1024
868,6,1024
869,20,1024
870,8,1024
871,7,1024
872,6,1024
873,7,1024
874,7,1024
875,7,1024
876,7,1024
877,7,1024
878,6,1024
879,6,1024
880,6,1024
881,6,1024
882,7,1024
883,6,1024
884,7,1024
885,7,1024
886,7,1024
887,7,1024
888,6,1024
889,7,1024
890,10,1024
891,7,1024
892,7,1024
893,6,1024
894,6,1024
895,6,1024
896,7,1024
897,6,1024
898,6,1024
899,6,1024
900,6,1024
901,6,1024
902,6,1024
903,6,1024
904,7,1024
905,7,1024
906,6,1024
907,7,1024
908,6,1024
909,7,1024
910,6,1024
911,6,1024
912,6,1024
913,6,1024
914,6,1024
915,7,1024
916,7,1024
917,7,1024
918,6,1024
919,7,1024
920,6,1024
921,6,1024
922,7,1024
923,7,1024
924,6,1024
925,7,1024
926,6,1024
927,7,1024
928,7,1024
929,7,1024
930,6,1024
931,6,1024
932,7,1024
933,10,1024
934,7,1024
935,6,1024
936,6,1024
937,6,1024
938,6,1024
939,6,1024
940,6,1024
941,7,1024
942,6,1024
943,6,1024
944,6,1024
945,6,1024
946,6,1024
947,12,1024
948,9,1024
949,10,1024
950,7,1024
951,7,1024
952,6,1024
953,6,1024
954,6,1024
955,6,1024
956,6,1024
957,7,1024
958,6,1024
959,7,1024
960,6,1024
961,6,1024
962,7,1024
963,7,1024
964,6,1024
965,14,1024
966,8,1024
967,7,1024
968,7,1024
969,7,1024
970,7,1024
971,6,1024
972,6,1024
973,6,1024
974,6,1024
975,7,1024
976,8,1024
977,7,1024
978,7,1024
979,20518,1024
980,9,1024
981,8,1024
982,7,1024
983,7,1024
984,7,1024
985,8,1024
986,7,1024
987,6,1024
988,7,1024
989,6,1024
990,6,1024
991,6,1024
992,7,1024
993,6,1024
994,6,1024
995,7,1024
996,6,1024
997,7,1024
998,6,1024
999,6,1024
1000,5,1024
1001,6,1024
1002,7,1024
1003,7,1024
1004,7,1024
1005,6,1024
1006,6,1024
1007,6,1024
1008,6,1024
1009,7,1024
1010,6,1024
1011,6,1024
1012,6,1024
1013,6,1024
1014,7,1024
1015,6,1024
1016,6,1024
1017,6,1024
1018,7,1024
1019,6,1024
1020,7,1024
1021,7,1024
1022,6,1024
1023,8,1024
1024,6,1024
1025,6,1024
1026,6,1024
1027,6,1024
1028,7,1024
1029,7,1024
1030,7,1024
1031,6,1024
1032,7,1024
1033,6,1024
1034,6,1024
1035,7,1024
1036,7,1024
1037,7,1024
1038,6,1024
1039,7,1024
1040,7,1024
1041,8,1024
1042,6,1024
1043,6,1024
1044,7,1024
1045,7,1024
1046,7,1024
1047,6,1024
1048,10,1024
1049,7,1024
1050,6,1024
1051,5204,1024
1052,8,1024
1053,7,1024
1054,6,1024
1055,7,1024
1056,7,1024
1057,7,1024
1058,5,1024
1059,6,1024
1060,7,1024
1061,6,1024
1062,6,1024
1063,7,1024
1064,7,1024
1065,10,1024
1066,9,1024
1067,8,1024
1068,7,1024
1069,6,1024
1070,7,1024
1071,6,1024
1072,6,1024
1073,7,1024
1074,6,1024
1075,7,1024
1076,7,1024
1077,6,1024
1078,7,1024
1079,6,1024
1080,7,1024
1081,7,1024
1082,8,1024
1083,7,1024
1084,7,1024
1085,6,1024
1086,6,1024
1087,6,1024
1088,6,1024
1089,6,1024
1090,7,1024
1091,7,1024
1092,6,1024
1093,6,1024
1094,6,1024
1095,7,1024
1096,7,1024
1097,6,1024
1098,6,1024
1099,6,1024
1100,6,1024
1101,6,1024
1102,7,1024
1103,7,1024
1104,6,1024
1105,6,1024
1106,6,1024
1107,6,1024
1108,6,1024
1109,6,1024
1110,7,1024
1111,7,1024
1112,7,1024
1113,6,1024
1114,7,1024
1115,4729,1024
1116,8,1024
1117,7,1024
1118,7,1024
1119,7,1024
1120,7,1024
1121,7,1024
1122,6,1024
1123,7,1024
1124,7,1024
1125,6,1024
1126,7,1024
1127,6,1024
1128,6,1024
1129,6,1024
1130,6,1024
1131,7,1024
1132,6,1024
1133,6,1024
1134,7,1024
1135,7,1024
1136,6,1024
1137,6,1024
1138,7,1024
1139,6,1024
1140,7,1024
1141,7,1024
1142,6,1024
1143,6,1024
1144,7,1024
1145,7,1024
1146,6,1024
1147,6,1024
1148,7,1024
1149,7,1024
1150,6,1024
1151,7,1024
1152,7,1024
1153,6,1024
1154,7,1024
1155,6,1024
1156,6,1024
1157,6,1024
1158,7,1024
1159,7,1024
1160,6,1024
1161,6,1024
1162,7,1024
1163,7,1024
1164,7,1024
1165,7,1024
1166,6,1024
1167,18128,1024
1168,9,1024
1169,7,1024
1170,7,1024
1171,7,1024
1172,6,1024
1173,6,1024
1174,6,1024
1175,7,1024
1176,6,1024
1177,7,1024
1178,6,1024
1179,6,1024
1180,6,1024
1181,6,1024
1182,7,1024
1183,6,1024
1184,7,1024
1185,6,1024
1186,7,1024
1187,6,1024
1188,6,1024
1189,10,1024
1190,6,1024
1191,6,1024
1192,11,1024
1193,7,1024
1194,7,1024
1195,7,1024
1196,6,1024
1197,6,1024
1198,6,1024
1199,6,1024
1200,12,1024
1201,8,1024
1202,7,1024
1203,7,1024
1204,7,1024
1205,7,1024
1206,7,1024
1207,7,1024
1208,7,1024
1209,7,1024
1210,7,1024
1211,8,1024
1212,7,1024
1213,7,1024
1214,7,1024
1215,7,1024
1216,6,1024
1217,6,1024
1218,7,1024
1219,6,1024
1220,7,1024
1221,7,1024
1222,7,1024
1223,6,1024
1224,6,1024
1225,6,1024
1226,6,1024
1227,6,1024
1228,6,1024
1229,6,1024
1230,8,1024
1231,7,1024
1232,7,1024
1233,7,1024
1234,6,1024
1235,6,1024
1236,6,1024
1237,9,1024
1238,7,1024
1239,6,1024
1240,7,1024
1241,7,1024
1242,7,1024
1243,7,1024
1244,7,1024
1245,6,1024
1246,6,1024
1247,6,1024
1248,7,1024
1249,7,1024
1250,6,1024
1251,6,1024
1252,7,1024
1253,9,1024
1254,7,1024
1255,6,1024
1256,7,1024
1257,6,1024
1258,7,1024
